final_node_in_dim,reservoir_units_max,reservoir_units_mean,spectral_radius_max,spectral_radius_mean,leak_rate_max,leak_rate_mean,nvar_order_max,nvar_outputs_max,num_reservoirs,num_nonnvar_reservoirs,has_nvar,has_rls,has_lms,has_ip,two_stage_readout,sr_subcritical,sr_bin,sr_supercritical,high_order_nvar,nrmse,r2,dataset
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.2543548022774886,0.9990821700246726,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2557223475503798,0.9990801676274863,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.2560840438010434,0.9990796376570893,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2579909009731045,0.9990768411377438,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2594065897313442,0.9990747622022125,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.259522235223515,0.9990745922737811,laser
1984,1976,1976.0,0.907967751433864,0.907967751433864,0.8247759033828834,0.8247759033828834,3,0,2,1,1,1,1,0,1,1,near,0,0,1.2670953829000113,0.9990634303927495,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.268116076557814,0.9990619208999386,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2684350938999358,0.9990614488593277,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.2694420317229196,0.9990599581440954,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2710406555357028,0.9990575890409955,laser
2170,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,0,0,1,1,0,1,1,0,1,1,near,0,0,1.2856069055476966,0.9990358650273403,laser
939,935,935.0,1.2088149018025391,1.2088149018025391,0.7555029191893278,0.7555029191893278,3,0,2,1,1,1,1,0,1,0,super,1,0,1.2857333642720434,0.9990356753437368,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2860379189328146,0.9990352184459691,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2860711972454757,0.9990351685147546,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.28775654603947,0.9990326381057992,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2887461084760508,0.9990311508172338,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.289819820730218,0.9990295357612053,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2907780837109706,0.999028093225755,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.2911904970086017,0.9990274720635018,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,0,1,0,1,1,near,0,0,1.2915544078783252,0.9990269237890811,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,0,1,0,1,1,near,0,0,1.2926365819143688,0.9990252924540535,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.295793780713614,0.9990205252926311,laser
1426,1419,1419.0,1.113023034048581,1.113023034048581,0.7977999615615947,0.7977999615615947,2,0,2,1,1,1,1,0,1,0,super,1,0,1.2992319665920002,0.9990153206313983,laser
2181,2165,2165.0,0.7695058241584252,0.7695058241584252,0.6345676817049006,0.6345676817049006,3,0,3,1,1,1,0,0,1,1,near,0,0,1.3004517001559677,0.9990134709074313,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.3029264392247275,0.999009712636267,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.3089718051930128,0.9990005017738804,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.31016252520171,0.9989986825386066,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.3151675830339438,0.9989910174979504,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.3188146085143888,0.9989854138211938,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.3212890304867593,0.9989816030209645,laser
2174,2167,2167.0,0.8218650394364531,0.8218650394364531,0.9466257301998213,0.9466257301998213,2,0,2,1,1,1,1,0,1,1,near,0,0,1.3257387514481895,0.9989747321353185,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.3279679987796238,0.9989712812333037,laser
1985,1978,1978.0,0.979907181060571,0.979907181060571,0.811455372442291,0.811455372442291,2,0,2,1,1,1,1,0,1,1,near,0,0,1.331149076209716,0.9989663468470452,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.333416574444195,0.998962822368866,laser
1613,1589,1589.0,0.7126840420301267,0.7126840420301267,0.6594708408294996,0.6594708408294996,3,0,2,1,1,0,0,1,0,1,near,0,0,1.3336923277089314,0.9989623933436137,laser
